,AntiSJW,AntiTheist,AntiWhiteness,Educational,LateNightTalkShow,Libertarian,MRA,Mainstream News,MissingLinkMedia,Others,PartisanLeft,PartisanRight,ReligiousConservative,SocialJustice,StateFunded,WhiteIdentitarian,Conspiracy,ManoelAltLite,Provocateur,Socialist
AntiSJW,0.07190476190476192,0.0004761904761904762,0.014761904761904763,0.015714285714285715,0.003333333333333333,0.1357142857142857,0.005238095238095238,0.004761904761904762,0.0019047619047619048,0.47238095238094907,0.026190476190476188,0.20714285714285705,0.011428571428571429,0.011904761904761904,0.01380952380952381,0.003333333333333333,0.0,0.0,0.0,0.0
AntiTheist,0.03545410393394851,0.2321515298688684,0.0,0.013113161728994658,0.045167557066537155,0.023312287518212724,0.0,0.00048567265662943174,0.0014570179698882952,0.5750364254492482,0.04662457503642545,0.015541525012141816,0.0,0.008256435162700339,0.003399708596406022,0.0,0.0,0.0,0.0,0.0
AntiWhiteness,0.0,0.0,0.07904761904761906,0.0014285714285714286,0.020476190476190478,0.0014285714285714286,0.0,0.010000000000000002,0.0014285714285714286,0.7828571428571466,0.06571428571428571,0.009047619047619047,0.0,0.014761904761904763,0.01380952380952381,0.0,0.0,0.0,0.0,0.0
Conspiracy,0.024285714285714285,0.0,0.0,0.00761904761904762,0.0004761904761904762,0.10380952380952381,0.0,0.004761904761904762,0.0,0.5295238095238088,0.04285714285714286,0.22809523809523807,0.0014285714285714286,0.017619047619047618,0.009047619047619047,0.0,0.030476190476190473,0.0,0.0,0.0
Educational,0.023333333333333334,0.021904761904761906,0.0,0.2652380952380953,0.01619047619047619,0.017142857142857144,0.0,0.006666666666666666,0.03333333333333333,0.5376190476190461,0.03666666666666667,0.0038095238095238095,0.0009523809523809524,0.03142857142857143,0.005714285714285715,0.0,0.0,0.0,0.0,0.0
LateNightTalkShow,0.0,0.0,0.0,0.0,0.3733333333333333,0.0,0.0,0.0014285714285714286,0.0,0.41904761904761717,0.20142857142857143,0.002380952380952381,0.0,0.0019047619047619048,0.0004761904761904762,0.0,0.0,0.0,0.0,0.0
Libertarian,0.026112185686653775,0.0014506769825918763,0.009671179883945842,0.013056092843326888,0.0,0.38394584139265,0.0,0.004352030947775629,0.00048355899419729207,0.4003868471953561,0.028529980657640234,0.1146034816247582,0.00048355899419729207,0.008704061895551257,0.0062862669245647975,0.0,0.0019342359767891683,0.0,0.0,0.0
MRA,0.07904761904761905,0.0014285714285714286,0.010952380952380953,0.04476190476190477,0.0033333333333333335,0.12,0.044285714285714296,0.003333333333333333,0.0014285714285714286,0.5528571428571446,0.011904761904761904,0.08047619047619048,0.01,0.03428571428571429,0.0019047619047619048,0.0,0.0,0.0,0.0,0.0
Mainstream News,0.0009519276534983341,0.0,0.0,0.011899095668729176,0.07615421227986673,0.007139457401237505,0.0,0.06330318895763921,0.0,0.44740599714422113,0.19324131366016178,0.06711089957163256,0.0,0.009995240361732508,0.12279866730128511,0.0,0.0,0.0,0.0,0.0
ManoelAltLite,0.0682261208576998,0.0,0.0,0.007309941520467836,0.0024366471734892786,0.07797270955165692,0.0,0.0024366471734892786,0.003898635477582846,0.5170565302144283,0.03557504873294347,0.24951267056530219,0.005847953216374269,0.007309941520467836,0.019980506822612085,0.0014619883040935672,0.0,0.0009746588693957114,0.0,0.0
ManoelAltRight,0.08879492600422835,0.0,0.0,0.003171247357293869,0.0,0.11627906976744186,0.0,0.007928118393234672,0.0005285412262156448,0.6131078224101416,0.014799154334038058,0.049682875264270614,0.0005285412262156448,0.02431289640591966,0.005813953488372093,0.06923890063424945,0.004228329809725159,0.0,0.0005285412262156448,0.0010570824524312897
MissingLinkMedia,0.0033653846153846156,0.0,0.0,0.010576923076923078,0.01201923076923077,0.03125,0.0,0.026442307692307696,0.0451923076923077,0.4932692307692297,0.11057692307692306,0.19471153846153844,0.0019230769230769232,0.05961538461538461,0.011057692307692308,0.0,0.0,0.0,0.0,0.0
PartisanLeft,0.007637231503579952,0.002863961813842482,0.0,0.003341288782816229,0.10883054892601432,0.010978520286396181,0.0,0.006682577565632458,0.0019093078758949881,0.5188544152744592,0.22625298329355598,0.015751789976133652,0.0,0.07064439140811457,0.017661097852028646,0.0,0.0,0.0,0.0,0.008591885441527447
PartisanRight,0.07421052631578946,0.0015789473684210526,0.0,0.0036842105263157894,0.002631578947368421,0.17105263157894735,0.0,0.006842105263157894,0.0010526315789473684,0.4957894736842138,0.04894736842105264,0.14473684210526316,0.002105263157894737,0.015789473684210527,0.017368421052631578,0.004736842105263157,0.008947368421052631,0.0,0.0005263157894736842,0.0
Provocateur,0.12100000000000002,0.0,0.005,0.011000000000000001,0.0045000000000000005,0.0395,0.0,0.0165,0.0,0.5489999999999959,0.023000000000000007,0.14700000000000002,0.0015,0.0035,0.004,0.001,0.0,0.0,0.064,0.0095
ReligiousConservative,0.21275583055687766,0.0014278914802475012,0.0014278914802475012,0.005711565920990004,0.0,0.06758686339838173,0.0,0.003807710613993337,0.0,0.5002379819133791,0.010471204188481674,0.07567824845311756,0.10042836744407425,0.016658733936220846,0.0014278914802475012,0.00047596382674916705,0.0014278914802475012,0.0,0.00047596382674916705,0.0
SocialJustice,0.0038095238095238104,0.002380952380952381,0.0014285714285714286,0.012380952380952381,0.03142857142857143,0.03142857142857143,0.0,0.009999999999999998,0.0019047619047619048,0.5428571428571407,0.10523809523809524,0.025714285714285717,0.0,0.1904761904761905,0.009999999999999998,0.0,0.0,0.0,0.0,0.030952380952380953
Socialist,0.009134615384615385,0.0,0.0,0.014903846153846155,0.03221153846153846,0.0375,0.0,0.008173076923076924,0.0,0.5442307692307685,0.11490384615384613,0.047596153846153844,0.0004807692307692308,0.07836538461538461,0.013461538461538462,0.0,0.0,0.0,0.00625,0.09278846153846153
StateFunded,0.00047938638542665386,0.0,0.0,0.009108341323106424,0.01102588686481304,0.02109300095877277,0.0,0.025407478427612658,0.00047938638542665386,0.6184084372003862,0.10210930009587721,0.042665388302972194,0.00047938638542665386,0.02109300095877277,0.14765100671140938,0.0,0.0,0.0,0.0,0.0
WhiteIdentitarian,0.06785714285714287,0.0,0.002551020408163265,0.013265306122448979,0.0020408163265306124,0.15102040816326534,0.0,0.005612244897959184,0.0,0.5882653061224444,0.014285714285714284,0.07857142857142858,0.005102040816326531,0.01377551020408163,0.006122448979591837,0.04846938775510204,0.0,0.0,0.0030612244897959186,0.0
