,AntiSJW,AntiTheist,AntiWhiteness,Conspiracy,Educational,LateNightTalkShow,Libertarian,MRA,Mainstream News,ManoelAltLite,ManoelAltRight,MissingLinkMedia,PartisanLeft,PartisanRight,Provocateur,ReligiousConservative,SocialJustice,Socialist,StateFunded,WhiteIdentitarian
AntiSJW,0.13628158844765345,0.0009025270758122744,0.027978339350180504,0.0,0.029783393501805054,0.00631768953068592,0.25722021660649824,0.009927797833935019,0.009025270758122744,0.0,0.0,0.0036101083032490976,0.04963898916967508,0.39259927797833943,0.0,0.021660649819494587,0.02256317689530686,0.0,0.026173285198555957,0.00631768953068592
AntiTheist,0.08342857142857142,0.5462857142857144,0.0,0.0,0.030857142857142854,0.10628571428571429,0.054857142857142854,0.0,0.001142857142857143,0.0,0.0,0.0034285714285714284,0.1097142857142857,0.03657142857142857,0.0,0.0,0.01942857142857143,0.0,0.008000000000000002,0.0
AntiWhiteness,0.0,0.0,0.36403508771929827,0.0,0.006578947368421052,0.0942982456140351,0.006578947368421052,0.0,0.046052631578947366,0.0,0.0,0.006578947368421052,0.3026315789473685,0.041666666666666664,0.0,0.0,0.06798245614035087,0.0,0.06359649122807018,0.0
Conspiracy,0.05161943319838057,0.0,0.0,0.06477732793522267,0.016194331983805668,0.0010121457489878543,0.22064777327935223,0.0,0.010121457489878543,0.0,0.0,0.0,0.09109311740890688,0.4848178137651821,0.0,0.003036437246963563,0.0374493927125506,0.0,0.01923076923076923,0.0
Educational,0.05046343975283213,0.047373841400617914,0.0,0.0,0.5736354273944391,0.03501544799176107,0.037075180226570546,0.0,0.014418125643666322,0.0,0.0,0.07209062821833162,0.0792996910401648,0.008238928939237899,0.0,0.0020597322348094747,0.06797116374871266,0.0,0.01235839340885685,0.0
LateNightTalkShow,0.0,0.0,0.0,0.0,0.0,0.6426229508196722,0.0,0.0,0.0024590163934426227,0.0,0.0,0.0,0.3467213114754098,0.004098360655737705,0.0,0.0,0.003278688524590164,0.0,0.000819672131147541,0.0
Libertarian,0.043548387096774194,0.0024193548387096775,0.016129032258064516,0.0032258064516129032,0.021774193548387097,0.0,0.640322580645161,0.0,0.0072580645161290334,0.0,0.0,0.0008064516129032258,0.04758064516129034,0.19112903225806446,0.0,0.0008064516129032258,0.014516129032258063,0.0,0.010483870967741936,0.0
MRA,0.17678381256656017,0.0031948881789137383,0.024494142705005325,0.0,0.10010649627263046,0.0074547390841320565,0.268370607028754,0.09904153354632589,0.007454739084132056,0.0,0.0,0.003194888178913738,0.026624068157614485,0.1799787007454739,0.0,0.022364217252396165,0.07667731629392972,0.0,0.004259850905218318,0.0
Mainstream News,0.0017226528854435831,0.0,0.0,0.0,0.02153316106804479,0.13781223083548666,0.012919896640826874,0.0,0.11455641688199827,0.0,0.0,0.0,0.34969853574504745,0.12144702842377261,0.0,0.0,0.018087855297157625,0.0,0.2222222222222222,0.0
ManoelAltLite,0.14127144298688196,0.0,0.0,0.0,0.015136226034308779,0.005045408678102927,0.16145307769929362,0.0,0.005045408678102927,0.0020181634712411706,0.0,0.008072653884964682,0.07366296670030274,0.5166498486377397,0.0,0.012108980827447024,0.01513622603430878,0.0,0.04137235116044399,0.0030272452068617556
ManoelAltRight,0.2295081967213115,0.0,0.0,0.01092896174863388,0.00819672131147541,0.0,0.3005464480874317,0.0,0.020491803278688527,0.0,0.0,0.001366120218579235,0.03825136612021859,0.1284153005464481,0.001366120218579235,0.001366120218579235,0.06284153005464481,0.00273224043715847,0.015027322404371584,0.17896174863387979
MissingLinkMedia,0.006641366223908918,0.0,0.0,0.0,0.020872865275142316,0.023719165085389,0.06166982922201139,0.0,0.05218216318785579,0.0,0.0,0.08918406072106262,0.21821631878557876,0.38425047438330173,0.0,0.003795066413662239,0.1176470588235294,0.0,0.021821631878557873,0.0
PartisanLeft,0.015873015873015872,0.005952380952380952,0.0,0.0,0.006944444444444444,0.2261904761904762,0.022817460317460316,0.0,0.013888888888888888,0.0,0.0,0.003968253968253968,0.4702380952380951,0.03273809523809524,0.0,0.0,0.1468253968253968,0.017857142857142856,0.0367063492063492,0.0
PartisanRight,0.14718162839248433,0.0031315240083507304,0.0,0.01774530271398747,0.007306889352818371,0.005219206680584551,0.3392484342379957,0.0,0.013569937369519834,0.0,0.0,0.0020876826722338203,0.09707724425887268,0.28705636743215024,0.0010438413361169101,0.0041753653444676405,0.031315240083507306,0.0,0.03444676409185803,0.009394572025052192
Provocateur,0.2682926829268292,0.0,0.011086474501108648,0.0,0.024390243902439025,0.009977827050997784,0.08758314855875832,0.0,0.036585365853658534,0.0,0.0,0.0,0.050997782705099776,0.3259423503325942,0.1419068736141907,0.0033259423503325942,0.007760532150776052,0.02106430155210643,0.008869179600886918,0.0022172949002217295
ReligiousConservative,0.4257142857142856,0.002857142857142857,0.002857142857142857,0.002857142857142857,0.01142857142857143,0.0,0.13523809523809524,0.0,0.007619047619047619,0.0,0.0,0.0,0.02095238095238095,0.1514285714285715,0.0009523809523809524,0.20095238095238102,0.03333333333333333,0.0,0.002857142857142857,0.0009523809523809524
SocialJustice,0.008333333333333333,0.005208333333333333,0.003125,0.0,0.02708333333333333,0.06875,0.06874999999999999,0.0,0.021875,0.0,0.0,0.004166666666666667,0.2302083333333332,0.05625000000000001,0.0,0.0,0.4166666666666667,0.06770833333333333,0.021875,0.0
Socialist,0.020042194092827002,0.0,0.0,0.0,0.03270042194092827,0.07067510548523206,0.08227848101265824,0.0,0.017932489451476793,0.0,0.0,0.0,0.25210970464135013,0.10443037974683544,0.013713080168776372,0.0010548523206751054,0.17194092827004215,0.20358649789029534,0.029535864978902957,0.0
StateFunded,0.001256281407035176,0.0,0.0,0.0,0.02386934673366834,0.028894472361809045,0.055276381909547735,0.0,0.06658291457286433,0.0,0.0,0.001256281407035176,0.26758793969849237,0.11180904522613065,0.0,0.001256281407035176,0.055276381909547735,0.0,0.3869346733668341,0.0
WhiteIdentitarian,0.16480793060718715,0.0,0.006195786864931847,0.0,0.032218091697645605,0.004956629491945477,0.36679058240396534,0.0,0.01363073110285006,0.0,0.0,0.0,0.034696406443618336,0.19083023543990094,0.007434944237918216,0.012391573729863692,0.03345724907063197,0.0,0.014869888475836429,0.11771995043370508
